"date","Reports","Positive","Deaths","New_positive","Let","Negative","Recovered","Tests","H","N_recovered","Test_daily","N_deaths"
2020-03-16,0,21,0,10,0,0,0,21,0,0,21,0
2020-03-17,0,21,0,0,0,0,0,21,0,0,0,0
2020-03-18,1,34,2,13,5.88235294117647,54,0,88,0,0,67,2
2020-03-19,1,72,2,38,2.77777777777778,54,0,126,28,0,38,0
2020-03-20,2,112,3,40,2.67857142857143,176,0,288,52,0,162,1
2020-03-21,3,202,3,90,1.48514851485149,395,0,597,56,0,309,0
2020-03-22,4,245,3,43,1.22448979591837,543,0,788,59,0,191,0
2020-03-23,5,312,6,67,1.92307692307692,661,2,973,68,2,185,3
2020-03-24,6,392,10,80,2.55102040816327,715,2,1107,109,0,134,4
2020-03-25,7,488,10,96,2.04918032786885,960,3,1448,108,1,341,0
2020-03-26,8,581,20,93,3.44234079173838,1149,3,1730,121,0,282,10
2020-03-27,9,719,28,138,3.89429763560501,1434,3,2153,123,0,423,8
2020-03-28,10,859,39,140,4.54016298020955,1731,3,2590,131,0,437,11
2020-03-29,11,901,42,42,4.661487236404,2055,4,2956,136,1,366,3
2020-03-30,12,1109,51,208,4.59873760144274,2146,5,3255,127,1,299,9
2020-03-31,13,1284,57,175,4.4392523364486,2418,9,3702,147,4,447,6
2020-04-01,14,1380,60,96,4.34782608695652,2638,16,4018,179,7,316,3
2020-04-02,15,1488,68,108,4.56989247311828,2712,16,4200,198,0,182,8
2020-04-03,16,1578,76,90,4.81622306717364,2964,17,4542,193,1,342,8
2020-04-04,17,1745,80,167,4.58452722063037,3438,17,5183,220,0,641,4
2020-04-05,18,1828,86,83,4.70459518599562,3661,33,5489,228,16,306,6
2020-04-06,19,1956,98,128,5.01022494887526,3864,36,5820,241,3,331,12
2020-04-07,20,2111,108,155,5.11605873993368,4247,50,6358,273,14,538,10
2020-04-08,21,2349,118,238,5.02341421881652,4802,80,7151,294,30,793,10
2020-04-09,22,2620,126,271,4.80916030534351,5316,98,7936,357,18,785,8
2020-04-10,23,2759,135,139,4.89307720188474,5710,108,8469,357,10,533,9
2020-04-11,24,2967,173,208,5.83080552746882,6308,131,9275,383,23,806,38
2020-04-12,25,3167,177,200,5.58888538048626,6908,152,10075,437,21,800,4
2020-04-13,26,3286,183,119,5.56908094948265,7162,162,10448,459,10,373,6
2020-04-14,27,3614,189,328,5.22966242390703,8127,208,11741,560,46,1293,6
2020-04-15,28,3755,196,141,5.21970705725699,8474,215,12229,623,7,488,7
2020-04-16,29,4126,200,371,4.84730974309258,9156,268,13282,773,53,1053,4
2020-04-17,30,4335,223,209,5.1441753171857,10038,312,14373,776,44,1091,23
2020-04-18,31,4680,226,345,4.82905982905983,10903,363,15583,862,51,1210,3
2020-04-19,32,4964,235,284,4.73408541498791,11718,416,16682,946,53,1099,9
2020-04-20,33,5044,245,80,4.85725614591594,11929,463,16973,964,47,291,10
2020-04-21,34,5300,260,256,4.90566037735849,12961,581,18261,955,118,1288,15
2020-04-22,35,5543,265,243,4.78080461843767,13737,674,19280,971,93,1019,5
2020-04-23,36,5749,267,206,4.64428596277614,14521,763,20270,1065,89,990,2
